"City","State","Country","Market","Region","Geo_ID"
"Armenia","Quindío","Colombia","LATAM","South",187
"Armidale","New South Wales","Australia","APAC","Oceania",188
"Arnhem","Gelderland","Netherlands","EU","Central",189
"Arnsberg","North Rhine-Westphalia","Germany","EU","Central",190
"Arraiján","Panama","Panama","LATAM","Central",191
"Arras","Nord-Pas-de-Calais","France","EU","Central",192
"Arrentela","Setúbal","Portugal","EU","South",193
"Artemisa","Artemisa","Cuba","LATAM","Caribbean",194
"Arusha","Arusha","Tanzania","Africa","Africa",195
"Arvada","Colorado","United States","US","West",196
"Arzgir","Stavropol'","Russia","EMEA","EMEA",197
"Asahikawa","Hokkaido","Japan","APAC","North Asia",198
"Asansol","West Bengal","India","APAC","Central Asia",199
"Aschaffenburg","Bavaria","Germany","EU","Central",200
"Ashdod","Southern","Israel","EMEA","EMEA",201
"Asheville","North Carolina","United States","US","South",202
"Ashford","England","United Kingdom","EU","North",203
"Ashgabat","Ashgabat","Turkmenistan","EMEA","EMEA",204
"Ashqelon","Southern","Israel","EMEA","EMEA",205
"Assen","Drenthe","Netherlands","EU","Central",206
"Astana","Astana","Kazakhstan","EMEA","EMEA",207
"Asti","Piedmont","Italy","EU","South",208
"Astrakhan'","Astrakhan'","Russia","EMEA","EMEA",209
"Asunción","Asunción","Paraguay","LATAM","South",210
"Aswan","Aswan","Egypt","Africa","Africa",211
"Asyut","Asyut","Egypt","Africa","Africa",212
"Atakpame","Plateaux","Togo","Africa","Africa",213
"Athens","Georgia","United States","US","South",214
"Athis-Mons","Ile-de-France","France","EU","Central",215
"Atlanta","Georgia","United States","US","South",216
"Atlantic City","New Jersey","United States","US","East",217
"Atlixco","Puebla","Mexico","LATAM","North",218
"Atsugacho","Hokkaido","Japan","APAC","North Asia",219
"Aubervilliers","Ile-de-France","France","EU","Central",220
"Auburn","Alabama","United States","US","South",221
"Auburn","New York","United States","US","East",222
"Auburn","Washington","United States","US","West",223
"Auch","Midi-Pyrénées","France","EU","Central",224
"Auckland","Auckland","New Zealand","APAC","Oceania",225
"Augsburg","Bavaria","Germany","EU","Central",226
"Aulnay-sous-Bois","Ile-de-France","France","EU","Central",227
"Aurangabad","Bihar","India","APAC","Central Asia",228
"Aurangabad","Maharashtra","India","APAC","Central Asia",229
"Aurora","Colorado","United States","US","West",230
"Aurora","Illinois","United States","US","Central",231
"Austin","Texas","United States","US","Central",232
"Auxerre","Burgundy","France","EU","Central",233
"Avadi","Tamil Nadu","India","APAC","Central Asia",234
"Avellaneda","Santa Fe","Argentina","LATAM","South",235
"Avellino","Campania","Italy","EU","South",236
"Avignon","Provence-Alpes-Côte d'Azur","France","EU","Central",237
"Avion","Nord-Pas-de-Calais","France","EU","Central",238
"Avon","Ile-de-France","France","EU","Central",239
"Avondale","Arizona","United States","US","West",240
"Ayacucho","Ayacucho","Peru","LATAM","South",241
"Aydin","Aydin","Turkey","EMEA","EMEA",242
"Aylesbury","England","United Kingdom","EU","North",243
"Azcapotzalco","Distrito Federal","Mexico","LATAM","North",244
"Açu","Rio Grande do Norte","Brazil","LATAM","South",245
"Babol","Mazandaran","Iran","EMEA","EMEA",246
"Bacau","Bacau","Romania","EMEA","EMEA",247
"Bacolod City","Western Visayas","Philippines","APAC","Southeast Asia",248
"Bacoor","Calabarzon","Philippines","APAC","Southeast Asia",249
"Bad Waldsee","Baden-Württemberg","Germany","EU","Central",250
"Badajoz","Extremadura","Spain","EU","South",251
"Badalona","Catalonia","Spain","EU","South",252
"Baden-Baden","Baden-Württemberg","Germany","EU","Central",253
"Bafoussam","Ouest","Cameroon","Africa","Africa",254
"Bafra","Samsun","Turkey","EMEA","EMEA",255
"Bagamoyo","Pwani","Tanzania","Africa","Africa",256
"Bagcilar","Istanbul","Turkey","EMEA","EMEA",257
"Baghdad","Baghdad","Iraq","EMEA","EMEA",258
"Bagneux","Ile-de-France","France","EU","Central",259
"Bagnolet","Ile-de-France","France","EU","Central",260
"Baguio City","Cordillera","Philippines","APAC","Southeast Asia",261
"Bagé","Rio Grande do Sul","Brazil","LATAM","South",262
"Bahawalpur","Punjab","Pakistan","APAC","Central Asia",263
"Bahía Blanca","Provincia de Buenos Aires","Argentina","LATAM","South",264
"Baia Mare","Maramures","Romania","EMEA","EMEA",265
"Bajos de Haina","San Cristóbal","Dominican Republic","LATAM","Caribbean",266
"Bakersfield","California","United States","US","West",267
"Baku","Baki","Azerbaijan","EMEA","EMEA",268
"Balikesir","Balikesir","Turkey","EMEA","EMEA",269
"Balikpapan","Kalimantan Timur","Indonesia","APAC","Southeast Asia",270
"Ballarat","Victoria","Australia","APAC","Oceania",271
"Balmazujvaros","Hajdu-Bihar","Hungary","EMEA","EMEA",272
"Balneário Camboriú","Santa Catarina","Brazil","LATAM","South",273
"Balti","Balti","Moldova","EMEA","EMEA",274
"Baltimore","Maryland","United States","US","East",275
"Bamako","Bamako","Mali","Africa","Africa",276
"Bamberg","Bavaria","Germany","EU","Central",277
"Bamenda","Nord-Ouest","Cameroon","Africa","Africa",278
"Banda Aceh","Aceh","Indonesia","APAC","Southeast Asia",279
"Bandar Abbas","Hormozgan","Iran","EMEA","EMEA",280
"Bandar-e Anzali","Gilan","Iran","EMEA","EMEA",281
"Bandirma","Balikesir","Turkey","EMEA","EMEA",282
"Bandundu","Bandundu","Democratic Republic of the Congo","Africa","Africa",283
"Bandung","Jawa Barat","Indonesia","APAC","Southeast Asia",284
"Bangalore","Karnataka","India","APAC","Central Asia",285
"Bangkok","Bangkok","Thailand","APAC","Southeast Asia",286
"Bangor","Maine","United States","US","East",287
"Bangui","Bangui","Central African Republic","Africa","Africa",288
"Banjarmasin","Kalimantan Selatan","Indonesia","APAC","Southeast Asia",289
"Banska Bystrica","Banská Bystrica","Slovakia","EMEA","EMEA",290
"Baní","Peravia","Dominican Republic","LATAM","Caribbean",291
"Baoding","Hebei","China","APAC","North Asia",292
"Baotou","Inner Mongolia","China","APAC","North Asia",293
"Baqubah","Diyala","Iraq","EMEA","EMEA",294
"Bar-le-Duc","Lorraine","France","EU","Central",295
"Barakaldo","Basque Country","Spain","EU","South",296
"Baraki","Tipaza","Algeria","Africa","Africa",297
"Baranagar","West Bengal","India","APAC","Central Asia",298
"Barasat","West Bengal","India","APAC","Central Asia",299
"Barbacena","Minas Gerais","Brazil","LATAM","South",300
"Barcelona","Anzoátegui","Venezuela","LATAM","South",301
"Barcelona","Catalonia","Spain","EU","South",302
"Barddhaman","West Bengal","India","APAC","Central Asia",303
"Bareilly","Uttar Pradesh","India","APAC","Central Asia",304
"Bari","Apulia","Italy","EU","South",305
"Barika","Batna","Algeria","Africa","Africa",306
"Barletta","Apulia","Italy","EU","South",307
"Barneveld","Gelderland","Netherlands","EU","Central",308
"Barnsley","England","United Kingdom","EU","North",309
"Barquisimeto","Lara","Venezuela","LATAM","South",310
"Barra Mansa","Rio de Janeiro","Brazil","LATAM","South",311
"Barra do Piraí","Rio de Janeiro","Brazil","LATAM","South",312
"Barranca","Lima","Peru","LATAM","South",313
"Barranquilla","Atlántico","Colombia","LATAM","South",314
"Barreiras","Bahia","Brazil","LATAM","South",315
"Barreirinhas","Maranhão","Brazil","LATAM","South",316
"Barretos","São Paulo","Brazil","LATAM","South",317
"Barrie","Ontario","Canada","Canada","Canada",318
"Barry","Wales","United Kingdom","EU","North",319
"Bartlett","Tennessee","United States","US","South",320
"Barueri","São Paulo","Brazil","LATAM","South",321
"Baruta","Miranda","Venezuela","LATAM","South",322
"Basel","Basel-Stadt","Switzerland","EU","Central",323
"Basildon","England","United Kingdom","EU","North",324
"Basingstoke","England","United Kingdom","EU","North",325
"Basra","Al Basrah","Iraq","EMEA","EMEA",326
"Bastia","Corsica","France","EU","Central",327
"Bata","Litoral","Equatorial Guinea","Africa","Africa",328
"Bath","England","United Kingdom","EU","North",329
"Batman","Batman","Turkey","EMEA","EMEA",330
"Batna","Batna","Algeria","Africa","Africa",331
"Battipaglia","Campania","Italy","EU","South",332
"Bauchi","Bauchi","Nigeria","Africa","Africa",333
"Bayamo","Granma","Cuba","LATAM","Caribbean",334
"Bayeux","Lower Normandy","France","EU","Central",335
"Bayeux","Paraíba","Brazil","LATAM","South",336
"Bayonne","Aquitaine","France","EU","Central",337
"Bayonne","New Jersey","United States","US","East",338
"Bayreuth","Bavaria","Germany","EU","Central",339
"Baytown","Texas","United States","US","Central",340
"Be'er Sheva","Southern","Israel","EMEA","EMEA",341
"Beaumont","Texas","United States","US","Central",342
"Beaune","Burgundy","France","EU","Central",343
"Beauvais","Picardy","France","EU","Central",344
"Bebington","England","United Kingdom","EU","North",345
"Bechar","Bechar","Algeria","Africa","Africa",346
"Bedford","England","United Kingdom","EU","North",347
"Bedford","Texas","United States","US","Central",348
"Behbahan","Khuzestan","Iran","EMEA","EMEA",349
"Behshahr","Mazandaran","Iran","EMEA","EMEA",350
"Beijing","Beijing","China","APAC","North Asia",351
"Beipiao","Liaoning","China","APAC","North Asia",352
"Beira","Sofala","Mozambique","Africa","Africa",353
"Beirut","Beirut","Lebanon","EMEA","EMEA",354
"Bejaia","Bejaia","Algeria","Africa","Africa",355
"Bekasi","Jawa Barat","Indonesia","APAC","Southeast Asia",356
"Belfort","Franche-Comté","France","EU","Central",357
"Belgaum","Karnataka","India","APAC","Central Asia",358
"Belgorod","Belgorod","Russia","EMEA","EMEA",359
"Bellary","Karnataka","India","APAC","Central Asia",360
"Belleville","New Jersey","United States","US","East",361
"Bellevue","Washington","United States","US","West",362
"Bellingham","Washington","United States","US","West",363
"Bello","Antioquia","Colombia","LATAM","South",364
"Belo Horizonte","Minas Gerais","Brazil","LATAM","South",365
"Bendigo","Victoria","Australia","APAC","Oceania",366
"Bene Beraq","Tel Aviv","Israel","EMEA","EMEA",367
"Benevento","Campania","Italy","EU","South",368
"Bengbu","Anhui","China","APAC","North Asia",369
"Benghazi","Banghazi","Libya","Africa","Africa",370
"Bengkulu","Bengkulu","Indonesia","APAC","Southeast Asia",371
"Benguela","Benguela","Angola","Africa","Africa",372
"Beni Mellal","Tadla-Azilal","Morocco","Africa","Africa",373
"Beni Suef","Bani Suwayf","Egypt","Africa","Africa",374
"Benidorm","Valenciana","Spain","EU","South",375
"Benin City","Edo","Nigeria","Africa","Africa",376
"Benoni","Gauteng","South Africa","Africa","Africa",377
"Bento Gonçalves","Rio Grande do Sul","Brazil","LATAM","South",378
"Benxi","Liaoning","China","APAC","North Asia",379
"Berck","Nord-Pas-de-Calais","France","EU","Central",380
"Berdyans'k","Zaporizhzhya","Ukraine","EMEA","EMEA",381
"Berdychiv","Zhytomyr","Ukraine","EMEA","EMEA",382
"Bergamo","Lombardy","Italy","EU","South",383
"Bergen","Hordaland","Norway","EU","North",384
"Bergen op Zoom","North Brabant","Netherlands","EU","Central",385
"Bergerac","Aquitaine","France","EU","Central",386
"Bergheim","North Rhine-Westphalia","Germany","EU","Central",387
"Bergisch Gladbach","North Rhine-Westphalia","Germany","EU","Central",388
"Berlin","Berlin","Germany","EU","Central",389
"Berne","Bern","Switzerland","EU","Central",390
"Berrechid","Chaouia-Ouardigha","Morocco","Africa","Africa",391
"Bertoua","Est","Cameroon","Africa","Africa",392
"Bethlehem","Pennsylvania","United States","US","East",393
"Betim","Minas Gerais","Brazil","LATAM","South",394
"Beverly","Massachusetts","United States","US","East",395
"Beykoz","Istanbul","Turkey","EMEA","EMEA",396
"Bezerros","Pernambuco","Brazil","LATAM","South",397
"Bezons","Ile-de-France","France","EU","Central",398
"Bharatpur","Rajasthan","India","APAC","Central Asia",399
"Bhatinda","Punjab","India","APAC","Central Asia",400
"Bhatpara","West Bengal","India","APAC","Central Asia",401
"Bhavnagar","Gujarat","India","APAC","Central Asia",402
"Bhilai","Chhattisgarh","India","APAC","Central Asia",403
"Bhilwara","Rajasthan","India","APAC","Central Asia",404
"Bhiwandi","Maharashtra","India","APAC","Central Asia",405
"Bhopal","Madhya Pradesh","India","APAC","Central Asia",406
"Bhubaneswar","Odisha","India","APAC","Central Asia",407
"Bialystok","Podlaskie","Poland","EMEA","EMEA",408
"Biarritz","Aquitaine","France","EU","Central",409
"Bideford","England","United Kingdom","EU","North",410
"Bielefeld","North Rhine-Westphalia","Germany","EU","Central",411
"Bielsko-Biala","Silesia","Poland","EMEA","EMEA",412
"Bihar Sharif","Bihar","India","APAC","Central Asia",413
"Bijapur","Karnataka","India","APAC","Central Asia",414
"Bijie","Guizhou","China","APAC","North Asia",415
"Bikaner","Rajasthan","India","APAC","Central Asia",416
"Bilaspur","Uttar Pradesh","India","APAC","Central Asia",417
"Bilbao","Basque Country","Spain","EU","South",418
"Bilbeis","Ash Sharqiyah","Egypt","Africa","Africa",419
"Billings","Montana","United States","US","West",420
"Bingol","Bingol","Turkey","EMEA","EMEA",421
"Binjai","Sumatera Utara","Indonesia","APAC","Southeast Asia",422
"Binzhou","Heilongjiang","China","APAC","North Asia",423
"Binzhou","Shandong","China","APAC","North Asia",424
"Birigui","São Paulo","Brazil","LATAM","South",425
"Birjand","South Khorasan","Iran","EMEA","EMEA",426
"Birkenhead","England","United Kingdom","EU","North",427
"Birmingham","England","United Kingdom","EU","North",428
"Birobidzhan","Yevrey","Russia","EMEA","EMEA",429
"Bisceglie","Apulia","Italy","EU","South",430
"Bishkek","Bishkek","Kyrgyzstan","EMEA","EMEA",431
"Bissau","Bissau","Guinea-Bissau","Africa","Africa",432
"Bistrita","Bistrita-Nasaud","Romania","EMEA","EMEA",433
"Bitola","Bitola","Macedonia","EMEA","EMEA",434
"Bitonto","Apulia","Italy","EU","South",435
"Blackburn","England","United Kingdom","EU","North",436
"Blackpool","England","United Kingdom","EU","North",437
"Blagoveshchensk","Amur","Russia","EMEA","EMEA",438
"Blagoveshchensk","Bashkortostan","Russia","EMEA","EMEA",439
"Blanquefort","Aquitaine","France","EU","Central",440
"Blenheim","Marlborough","New Zealand","APAC","Oceania",441
"Bloemfontein","Free State","South Africa","Africa","Africa",442
"Blois","Centre","France","EU","Central",443
"Bloomington","Illinois","United States","US","Central",444
"Bloomington","Indiana","United States","US","Central",445
"Blumenau","Santa Catarina","Brazil","LATAM","South",446
"Bo","Southern","Sierra Leone","Africa","Africa",447
"Boa Esperança","Minas Gerais","Brazil","LATAM","South",448
"Boa Vista","Roraima","Brazil","LATAM","South",449
"Bobigny","Ile-de-France","France","EU","Central",450
"Boca Raton","Florida","United States","US","South",451
"Bochum","North Rhine-Westphalia","Germany","EU","Central",452
"Boghni","Tizi Ouzou","Algeria","Africa","Africa",453
"Bognor Regis","England","United Kingdom","EU","North",454
"Bogor","Jawa Barat","Indonesia","APAC","Southeast Asia",455
"Bogotá","Bogota","Colombia","LATAM","South",456
"Boise","Idaho","United States","US","West",457
"Bokaro","Jharkhand","India","APAC","Central Asia",458
"Boksburg","Gauteng","South Africa","Africa","Africa",459
"Bolingbrook","Illinois","United States","US","Central",460
"Bologna","Emilia-Romagna","Italy","EU","South",461
"Bolton","England","United Kingdom","EU","North",462
"Bolu","Bolu","Turkey","EMEA","EMEA",463
"Bolzano","Trentino-Alto Adige","Italy","EU","South",464
"Bolívar","Bolivar","Venezuela","LATAM","South",465
"Bom Jesus da Lapa","Bahia","Brazil","LATAM","South",466
"Bonao","Monseñor Nouel","Dominican Republic","LATAM","Caribbean",467
"Bondy","Ile-de-France","France","EU","Central",468
"Bonn","North Rhine-Westphalia","Germany","EU","Central",469
"Bonneuil-sur-Marne","Ile-de-France","France","EU","Central",470
"Borazjan","Bushehr","Iran","EMEA","EMEA",471
"Bordeaux","Aquitaine","France","EU","Central",472
"Borken","North Rhine-Westphalia","Germany","EU","Central",473
"Bornova","Izmir","Turkey","EMEA","EMEA",474
"Borujerd","Lorestan","Iran","EMEA","EMEA",475
"Boscoreale","Campania","Italy","EU","South",476
"Bossier City","Louisiana","United States","US","South",477
"Botosani","Botosani","Romania","EMEA","EMEA",478
"Botshabelo","Free State","South Africa","Africa","Africa",479
"Bottrop","North Rhine-Westphalia","Germany","EU","Central",480
"Bouake","Vallee Du Bandama","Cote d'Ivoire","Africa","Africa",481
"Boulogne-Billancourt","Ile-de-France","France","EU","Central",482
"Boulogne-sur-Mer","Nord-Pas-de-Calais","France","EU","Central",483
"Bourg-en-Bresse","Rhône-Alpes","France","EU","Central",484
"Bourges","Centre","France","EU","Central",485
"Bourgoin-Jallieu","Rhône-Alpes","France","EU","Central",486
"Bournemouth","England","United Kingdom","EU","North",487
"Bowling Green","Kentucky","United States","US","South",488
"Bowling Green","Ohio","United States","US","East",489
"Boynton Beach","Florida","United States","US","South",490
"Bozeman","Montana","United States","US","West",491
"Bracknell","England","United Kingdom","EU","North",492
"Bradford","England","United Kingdom","EU","North",493
"Braga","Braga","Portugal","EU","South",494
"Bragança Paulista","São Paulo","Brazil","LATAM","South",495
"Brahmapur","Odisha","India","APAC","Central Asia",496
"Braila","Braila","Romania","EMEA","EMEA",497
"Brampton","Ontario","Canada","Canada","Canada",498
"Brandenburg","Brandenburg","Germany","EU","Central",499
"Brantford","Ontario","Canada","Canada","Canada",500
"Brasov","Brasov","Romania","EMEA","EMEA",501
"Brasília","Federal District","Brazil","LATAM","South",502
"Bratsk","Irkutsk","Russia","EMEA","EMEA",503
"Breda","North Brabant","Netherlands","EU","Central",504
"Bremen","Bremen","Germany","EU","Central",505
"Bremerhaven","Bremen","Germany","EU","Central",506
"Brentwood","California","United States","US","West",507
"Brescia","Lombardy","Italy","EU","South",508
"Bressuire","Poitou-Charentes","France","EU","Central",509
"Brest","Brest","Belarus","EMEA","EMEA",510
"Brest","Brittany","France","EU","Central",511
