"Product ID","First(Category)","First(Sub-Category)","First(Product Name)","First(is_high_discount)"
"FUR-BO-10000490","Furniture","Bookcases","Bush Library with Doors, Metal","Normal"
"FUR-BO-10000502","Furniture","Bookcases","Sauder Classic Bookcase, Mobile","Normal"
"FUR-BO-10000514","Furniture","Bookcases","Bush Library with Doors, Traditional","Normal"
"FUR-BO-10000517","Furniture","Bookcases","Ikea Stackable Bookrack, Metal","High Discount"
"FUR-BO-10000533","Furniture","Bookcases","Dania Corner Shelving, Pine","Normal"
"FUR-BO-10000567","Furniture","Bookcases","Sauder Classic Bookcase, Traditional","Normal"
"FUR-BO-10000596","Furniture","Bookcases","Sauder Classic Bookcase, Mobile","Normal"
"FUR-BO-10000610","Furniture","Bookcases","Ikea Stackable Bookrack, Mobile","Normal"
"FUR-BO-10000616","Furniture","Bookcases","Dania Corner Shelving, Pine","Normal"
"FUR-BO-10000623","Furniture","Bookcases","Safco Library with Doors, Metal","High Discount"
"FUR-BO-10000624","Furniture","Bookcases","Safco Classic Bookcase, Metal","Normal"
"FUR-BO-10000636","Furniture","Bookcases","Dania Floating Shelf Set, Metal","Normal"
"FUR-BO-10000655","Furniture","Bookcases","Dania Classic Bookcase, Traditional","Normal"
"FUR-BO-10000666","Furniture","Bookcases","Ikea 3-Shelf Cabinet, Mobile","Normal"
"FUR-BO-10000668","Furniture","Bookcases","Sauder Classic Bookcase, Mobile","Normal"
"FUR-BO-10000670","Furniture","Bookcases","Dania Corner Shelving, Metal","Normal"
"FUR-BO-10000676","Furniture","Bookcases","Bush Stackable Bookrack, Pine","Normal"
"FUR-BO-10000684","Furniture","Bookcases","Sauder Corner Shelving, Traditional","Normal"
"FUR-BO-10000699","Furniture","Bookcases","Sauder 3-Shelf Cabinet, Traditional","Normal"
"FUR-BO-10000700","Furniture","Bookcases","Sauder Floating Shelf Set, Metal","Normal"
"FUR-BO-10000711","Furniture","Bookcases","Hon Metal Bookcases, Gray","Normal"
"FUR-BO-10000712","Furniture","Bookcases","Bush Corner Shelving, Pine","Normal"
"FUR-BO-10000728","Furniture","Bookcases","Ikea Classic Bookcase, Mobile","Normal"
"FUR-BO-10000734","Furniture","Bookcases","Bush Corner Shelving, Pine","Normal"
"FUR-BO-10000746","Furniture","Bookcases","Ikea Corner Shelving, Mobile","Normal"
"FUR-BO-10000780","Furniture","Bookcases","O'Sullivan Plantations 2-Door Library in Landvery Oak","Normal"
"FUR-BO-10000786","Furniture","Bookcases","Sauder Stackable Bookrack, Pine","Normal"
"FUR-BO-10000791","Furniture","Bookcases","Dania Library with Doors, Traditional","High Discount"
"FUR-BO-10000797","Furniture","Bookcases","Safco 3-Shelf Cabinet, Pine","Normal"
"FUR-BO-10000807","Furniture","Bookcases","Sauder Floating Shelf Set, Mobile","Normal"
"FUR-BO-10000820","Furniture","Bookcases","Sauder 3-Shelf Cabinet, Metal","Normal"
"FUR-BO-10000847","Furniture","Bookcases","Dania Stackable Bookrack, Mobile","Normal"
"FUR-BO-10000883","Furniture","Bookcases","Dania Corner Shelving, Mobile","Normal"
"FUR-BO-10000889","Furniture","Bookcases","Safco 3-Shelf Cabinet, Mobile","Normal"
"FUR-BO-10000891","Furniture","Bookcases","Ikea Classic Bookcase, Pine","Normal"
"FUR-BO-10000892","Furniture","Bookcases","Bush Corner Shelving, Mobile","Normal"
"FUR-BO-10000895","Furniture","Bookcases","Sauder Stackable Bookrack, Pine","Normal"
"FUR-BO-10000936","Furniture","Bookcases","Bush Floating Shelf Set, Traditional","Normal"
"FUR-BO-10000961","Furniture","Bookcases","Bush Stackable Bookrack, Pine","Normal"
"FUR-BO-10000967","Furniture","Bookcases","Ikea Library with Doors, Pine","Normal"
"FUR-BO-10000980","Furniture","Bookcases","Bush Library with Doors, Traditional","Normal"
"FUR-BO-10001003","Furniture","Bookcases","Dania 3-Shelf Cabinet, Traditional","Normal"
"FUR-BO-10001010","Furniture","Bookcases","Dania Corner Shelving, Mobile","Normal"
"FUR-BO-10001039","Furniture","Bookcases","Dania Classic Bookcase, Traditional","Normal"
"FUR-BO-10001042","Furniture","Bookcases","Dania 3-Shelf Cabinet, Pine","Normal"
"FUR-BO-10001067","Furniture","Bookcases","Bush Stackable Bookrack, Pine","Normal"
"FUR-BO-10001073","Furniture","Bookcases","Safco Classic Bookcase, Metal","Normal"
"FUR-BO-10001099","Furniture","Bookcases","Bush Corner Shelving, Traditional","Normal"
"FUR-BO-10001133","Furniture","Bookcases","Ikea Classic Bookcase, Mobile","Normal"
"FUR-BO-10001147","Furniture","Bookcases","Bush Floating Shelf Set, Metal","Normal"
"FUR-BO-10001155","Furniture","Bookcases","Dania 3-Shelf Cabinet, Traditional","Normal"
"FUR-BO-10001165","Furniture","Bookcases","Bush Library with Doors, Mobile","Normal"
"FUR-BO-10001192","Furniture","Bookcases","Bush Library with Doors, Mobile","Normal"
"FUR-BO-10001196","Furniture","Bookcases","Bush Library with Doors, Pine","Normal"
"FUR-BO-10001201","Furniture","Bookcases","Bush Stackable Bookrack, Mobile","Normal"
"FUR-BO-10001212","Furniture","Bookcases","Safco Classic Bookcase, Mobile","Normal"
"FUR-BO-10001216","Furniture","Bookcases","Sauder 3-Shelf Cabinet, Mobile","Normal"
"FUR-BO-10001233","Furniture","Bookcases","Ikea 3-Shelf Cabinet, Mobile","Normal"
"FUR-BO-10001254","Furniture","Bookcases","Dania 3-Shelf Cabinet, Mobile","Normal"
"FUR-BO-10001255","Furniture","Bookcases","Ikea Library with Doors, Mobile","Normal"
"FUR-BO-10001256","Furniture","Bookcases","Ikea Corner Shelving, Pine","Normal"
"FUR-BO-10001271","Furniture","Bookcases","Sauder Classic Bookcase, Pine","High Discount"
"FUR-BO-10001276","Furniture","Bookcases","Safco Floating Shelf Set, Mobile","High Discount"
"FUR-BO-10001287","Furniture","Bookcases","Dania Floating Shelf Set, Metal","Normal"
"FUR-BO-10001295","Furniture","Bookcases","Safco Floating Shelf Set, Traditional","Normal"
"FUR-BO-10001309","Furniture","Bookcases","Ikea Classic Bookcase, Traditional","Normal"
"FUR-BO-10001318","Furniture","Bookcases","Safco Library with Doors, Mobile","High Discount"
"FUR-BO-10001324","Furniture","Bookcases","Sauder Floating Shelf Set, Pine","Normal"
"FUR-BO-10001326","Furniture","Bookcases","Bush 3-Shelf Cabinet, Pine","Normal"
"FUR-BO-10001337","Furniture","Bookcases","O'Sullivan Living Dimensions 2-Shelf Bookcases","Normal"
"FUR-BO-10001342","Furniture","Bookcases","Safco Corner Shelving, Metal","Normal"
"FUR-BO-10001356","Furniture","Bookcases","Ikea Library with Doors, Mobile","Normal"
"FUR-BO-10001358","Furniture","Bookcases","Bush 3-Shelf Cabinet, Traditional","Normal"
"FUR-BO-10001362","Furniture","Bookcases","Ikea Classic Bookcase, Metal","Normal"
"FUR-BO-10001369","Furniture","Bookcases","Sauder Stackable Bookrack, Mobile","Normal"
"FUR-BO-10001370","Furniture","Bookcases","Sauder Classic Bookcase, Mobile","Normal"
"FUR-BO-10001372","Furniture","Bookcases","Safco Classic Bookcase, Pine","Normal"
"FUR-BO-10001385","Furniture","Bookcases","Sauder Corner Shelving, Metal","Normal"
"FUR-BO-10001387","Furniture","Bookcases","Safco Floating Shelf Set, Traditional","Normal"
"FUR-BO-10001390","Furniture","Bookcases","Bush Floating Shelf Set, Traditional","Normal"
"FUR-BO-10001392","Furniture","Bookcases","Sauder Classic Bookcase, Traditional","Normal"
"FUR-BO-10001393","Furniture","Bookcases","Safco 3-Shelf Cabinet, Pine","Normal"
"FUR-BO-10001405","Furniture","Bookcases","Bush Stackable Bookrack, Pine","Normal"
"FUR-BO-10001436","Furniture","Bookcases","Bush Corner Shelving, Traditional","Normal"
"FUR-BO-10001452","Furniture","Bookcases","Dania Stackable Bookrack, Pine","Normal"
"FUR-BO-10001461","Furniture","Bookcases","Safco Floating Shelf Set, Traditional","Normal"
"FUR-BO-10001471","Furniture","Bookcases","Sauder Classic Bookcase, Metal","Normal"
"FUR-BO-10001476","Furniture","Bookcases","Safco Corner Shelving, Pine","Normal"
"FUR-BO-10001483","Furniture","Bookcases","Bush Corner Shelving, Metal","Normal"
"FUR-BO-10001498","Furniture","Bookcases","Dania Classic Bookcase, Pine","Normal"
"FUR-BO-10001501","Furniture","Bookcases","Bush Classic Bookcase, Metal","Normal"
"FUR-BO-10001507","Furniture","Bookcases","Ikea Library with Doors, Traditional","Normal"
"FUR-BO-10001519","Furniture","Bookcases","O'Sullivan 3-Shelf Heavy-Duty Bookcases","Normal"
"FUR-BO-10001524","Furniture","Bookcases","Bush Stackable Bookrack, Pine","High Discount"
"FUR-BO-10001537","Furniture","Bookcases","Ikea Corner Shelving, Metal","Normal"
"FUR-BO-10001541","Furniture","Bookcases","Bush Stackable Bookrack, Traditional","Normal"
"FUR-BO-10001553","Furniture","Bookcases","Sauder Library with Doors, Traditional","Normal"
"FUR-BO-10001555","Furniture","Bookcases","Bush Corner Shelving, Metal","Normal"
"FUR-BO-10001558","Furniture","Bookcases","Safco 3-Shelf Cabinet, Pine","Normal"
"FUR-BO-10001567","Furniture","Bookcases","Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled","High Discount"
"FUR-BO-10001580","Furniture","Bookcases","Dania Stackable Bookrack, Pine","Normal"
"FUR-BO-10001585","Furniture","Bookcases","Sauder Floating Shelf Set, Mobile","Normal"
"FUR-BO-10001596","Furniture","Bookcases","Dania Library with Doors, Mobile","Normal"
"FUR-BO-10001598","Furniture","Bookcases","Bush Corner Shelving, Pine","Normal"
"FUR-BO-10001601","Furniture","Bookcases","Sauder Mission Library with Doors, Fruitwood Finish","Normal"
"FUR-BO-10001608","Furniture","Bookcases","Hon Metal Bookcases, Black","Normal"
"FUR-BO-10001619","Furniture","Bookcases","O'Sullivan Cherrywood Estates Traditional Bookcase","Normal"
"FUR-BO-10001621","Furniture","Bookcases","Dania Stackable Bookrack, Traditional","Normal"
"FUR-BO-10001641","Furniture","Bookcases","Bush 3-Shelf Cabinet, Traditional","Normal"
"FUR-BO-10001646","Furniture","Bookcases","Safco Library with Doors, Pine","Normal"
"FUR-BO-10001668","Furniture","Bookcases","Ikea Floating Shelf Set, Pine","Normal"
"FUR-BO-10001679","Furniture","Bookcases","Ikea 3-Shelf Cabinet, Traditional","Normal"
"FUR-BO-10001699","Furniture","Bookcases","Ikea 3-Shelf Cabinet, Mobile","High Discount"
"FUR-BO-10001708","Furniture","Bookcases","Safco Stackable Bookrack, Pine","Normal"
"FUR-BO-10001714","Furniture","Bookcases","Dania Floating Shelf Set, Mobile","Normal"
"FUR-BO-10001721","Furniture","Bookcases","Bush Corner Shelving, Mobile","Normal"
"FUR-BO-10001739","Furniture","Bookcases","Dania Classic Bookcase, Mobile","Normal"
"FUR-BO-10001746","Furniture","Bookcases","Dania 3-Shelf Cabinet, Pine","Normal"
"FUR-BO-10001749","Furniture","Bookcases","Bush Classic Bookcase, Traditional","Normal"
"FUR-BO-10001753","Furniture","Bookcases","Dania Stackable Bookrack, Traditional","Normal"
"FUR-BO-10001779","Furniture","Bookcases","Safco Stackable Bookrack, Pine","Normal"
"FUR-BO-10001781","Furniture","Bookcases","Bush Library with Doors, Traditional","Normal"
"FUR-BO-10001798","Furniture","Bookcases","Bush Somerset Collection Bookcase","Normal"
"FUR-BO-10001811","Furniture","Bookcases","Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors","Normal"
"FUR-BO-10001822","Furniture","Bookcases","Dania Library with Doors, Metal","Normal"
"FUR-BO-10001831","Furniture","Bookcases","Sauder Floating Shelf Set, Metal","Normal"
"FUR-BO-10001834","Furniture","Bookcases","Ikea 3-Shelf Cabinet, Mobile","Normal"
"FUR-BO-10001835","Furniture","Bookcases","Safco Library with Doors, Traditional","Normal"
"FUR-BO-10001860","Furniture","Bookcases","Sauder Corner Shelving, Traditional","Normal"
"FUR-BO-10001867","Furniture","Bookcases","Dania Corner Shelving, Mobile","Normal"
"FUR-BO-10001872","Furniture","Bookcases","Bush Stackable Bookrack, Pine","Normal"
"FUR-BO-10001873","Furniture","Bookcases","Ikea Floating Shelf Set, Mobile","Normal"
"FUR-BO-10001874","Furniture","Bookcases","Sauder Corner Shelving, Pine","Normal"
"FUR-BO-10001875","Furniture","Bookcases","Bush Library with Doors, Mobile","Normal"
"FUR-BO-10001876","Furniture","Bookcases","Safco Corner Shelving, Pine","Normal"
"FUR-BO-10001888","Furniture","Bookcases","Dania Floating Shelf Set, Pine","Normal"
"FUR-BO-10001892","Furniture","Bookcases","Sauder Library with Doors, Pine","Normal"
"FUR-BO-10001918","Furniture","Bookcases","Sauder Forest Hills Library with Doors, Woodland Oak Finish","Normal"
"FUR-BO-10001934","Furniture","Bookcases","Bush Library with Doors, Metal","Normal"
"FUR-BO-10001943","Furniture","Bookcases","Safco Library with Doors, Traditional","Normal"
"FUR-BO-10001946","Furniture","Bookcases","Sauder 3-Shelf Cabinet, Metal","Normal"
"FUR-BO-10001966","Furniture","Bookcases","Ikea Corner Shelving, Metal","Normal"
"FUR-BO-10001967","Furniture","Bookcases","Safco Corner Shelving, Mobile","Normal"
"FUR-BO-10001969","Furniture","Bookcases","Sauder 3-Shelf Cabinet, Pine","Normal"
"FUR-BO-10001972","Furniture","Bookcases","O'Sullivan 4-Shelf Bookcase in Odessa Pine","Normal"
"FUR-BO-10002000","Furniture","Bookcases","Ikea Classic Bookcase, Metal","Normal"
"FUR-BO-10002003","Furniture","Bookcases","Sauder Classic Bookcase, Metal","Normal"
"FUR-BO-10002008","Furniture","Bookcases","Bush Stackable Bookrack, Traditional","Normal"
"FUR-BO-10002031","Furniture","Bookcases","Sauder Classic Bookcase, Pine","Normal"
"FUR-BO-10002032","Furniture","Bookcases","Ikea Stackable Bookrack, Pine","Normal"
"FUR-BO-10002042","Furniture","Bookcases","Bush Classic Bookcase, Metal","High Discount"
"FUR-BO-10002084","Furniture","Bookcases","Dania Library with Doors, Metal","Normal"
"FUR-BO-10002109","Furniture","Bookcases","Safco Stackable Bookrack, Pine","Normal"
"FUR-BO-10002133","Furniture","Bookcases","Bush Corner Shelving, Mobile","Normal"
"FUR-BO-10002142","Furniture","Bookcases","Ikea Classic Bookcase, Traditional","Normal"
"FUR-BO-10002182","Furniture","Bookcases","Safco Floating Shelf Set, Pine","Normal"
"FUR-BO-10002202","Furniture","Bookcases","Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors","Normal"
"FUR-BO-10002204","Furniture","Bookcases","Bush Classic Bookcase, Pine","Normal"
"FUR-BO-10002206","Furniture","Bookcases","Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order","Normal"
"FUR-BO-10002213","Furniture","Bookcases","DMI Eclipse Executive Suite Bookcases","Normal"
"FUR-BO-10002214","Furniture","Bookcases","Dania Floating Shelf Set, Traditional","Normal"
"FUR-BO-10002235","Furniture","Bookcases","Bush 3-Shelf Cabinet, Pine","Normal"
"FUR-BO-10002250","Furniture","Bookcases","Dania Floating Shelf Set, Mobile","Normal"
"FUR-BO-10002268","Furniture","Bookcases","Sauder Barrister Bookcases","Normal"
"FUR-BO-10002277","Furniture","Bookcases","Bush Floating Shelf Set, Mobile","Normal"
"FUR-BO-10002285","Furniture","Bookcases","Safco Corner Shelving, Pine","Normal"
"FUR-BO-10002289","Furniture","Bookcases","Ikea Corner Shelving, Pine","Normal"
"FUR-BO-10002300","Furniture","Bookcases","Dania Classic Bookcase, Traditional","Normal"
"FUR-BO-10002308","Furniture","Bookcases","Safco Floating Shelf Set, Metal","Normal"
"FUR-BO-10002309","Furniture","Bookcases","Dania 3-Shelf Cabinet, Traditional","Normal"
"FUR-BO-10002318","Furniture","Bookcases","Dania Classic Bookcase, Mobile","Normal"
"FUR-BO-10002324","Furniture","Bookcases","Sauder Stackable Bookrack, Pine","Normal"
"FUR-BO-10002325","Furniture","Bookcases","Bush Classic Bookcase, Metal","Normal"
"FUR-BO-10002334","Furniture","Bookcases","Ikea 3-Shelf Cabinet, Pine","Normal"
"FUR-BO-10002346","Furniture","Bookcases","Dania Stackable Bookrack, Mobile","Normal"
"FUR-BO-10002352","Furniture","Bookcases","Ikea 3-Shelf Cabinet, Mobile","Normal"
"FUR-BO-10002378","Furniture","Bookcases","Dania 3-Shelf Cabinet, Metal","Normal"
"FUR-BO-10002383","Furniture","Bookcases","Sauder Floating Shelf Set, Pine","Normal"
"FUR-BO-10002387","Furniture","Bookcases","Safco Library with Doors, Metal","Normal"
"FUR-BO-10002390","Furniture","Bookcases","Ikea Library with Doors, Metal","Normal"
"FUR-BO-10002423","Furniture","Bookcases","Safco Floating Shelf Set, Mobile","Normal"
"FUR-BO-10002444","Furniture","Bookcases","Sauder Library with Doors, Mobile","Normal"
"FUR-BO-10002462","Furniture","Bookcases","Ikea Classic Bookcase, Pine","Normal"
"FUR-BO-10002471","Furniture","Bookcases","Safco 3-Shelf Cabinet, Metal","Normal"
"FUR-BO-10002510","Furniture","Bookcases","Safco 3-Shelf Cabinet, Traditional","Normal"
"FUR-BO-10002529","Furniture","Bookcases","Safco Library with Doors, Metal","Normal"
"FUR-BO-10002545","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","Normal"
"FUR-BO-10002574","Furniture","Bookcases","Bush Corner Shelving, Traditional","High Discount"
"FUR-BO-10002580","Furniture","Bookcases","Safco Classic Bookcase, Pine","Normal"
"FUR-BO-10002592","Furniture","Bookcases","Safco Stackable Bookrack, Traditional","High Discount"
"FUR-BO-10002598","Furniture","Bookcases","Hon Metal Bookcases, Putty","Normal"
"FUR-BO-10002613","Furniture","Bookcases","Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors","Normal"
"FUR-BO-10002632","Furniture","Bookcases","Sauder Corner Shelving, Pine","Normal"
"FUR-BO-10002679","Furniture","Bookcases","Ikea Stackable Bookrack, Mobile","Normal"
"FUR-BO-10002680","Furniture","Bookcases","Sauder 3-Shelf Cabinet, Traditional","Normal"
"FUR-BO-10002682","Furniture","Bookcases","Safco Stackable Bookrack, Mobile","Normal"
"FUR-BO-10002708","Furniture","Bookcases","Dania Library with Doors, Pine","Normal"
"FUR-BO-10002736","Furniture","Bookcases","Sauder Stackable Bookrack, Mobile","Normal"
"FUR-BO-10002738","Furniture","Bookcases","Sauder Corner Shelving, Mobile","Normal"
"FUR-BO-10002740","Furniture","Bookcases","Ikea Classic Bookcase, Metal","Normal"
"FUR-BO-10002766","Furniture","Bookcases","Bush Classic Bookcase, Traditional","Normal"
"FUR-BO-10002781","Furniture","Bookcases","Sauder Floating Shelf Set, Traditional","Normal"
"FUR-BO-10002782","Furniture","Bookcases","Safco Corner Shelving, Traditional","Normal"
"FUR-BO-10002793","Furniture","Bookcases","Safco Floating Shelf Set, Traditional","Normal"
"FUR-BO-10002812","Furniture","Bookcases","Sauder 3-Shelf Cabinet, Pine","Normal"
"FUR-BO-10002819","Furniture","Bookcases","Ikea Stackable Bookrack, Traditional","Normal"
"FUR-BO-10002824","Furniture","Bookcases","Bush Mission Pointe Library","Normal"
"FUR-BO-10002852","Furniture","Bookcases","Bush Stackable Bookrack, Pine","Normal"
"FUR-BO-10002853","Furniture","Bookcases","O'Sullivan 5-Shelf Heavy-Duty Bookcases","Normal"
"FUR-BO-10002866","Furniture","Bookcases","Safco Classic Bookcase, Pine","Normal"
"FUR-BO-10002889","Furniture","Bookcases","Dania Stackable Bookrack, Pine","Normal"
"FUR-BO-10002892","Furniture","Bookcases","Safco Classic Bookcase, Mobile","Normal"
"FUR-BO-10002906","Furniture","Bookcases","Ikea Corner Shelving, Traditional","Normal"
"FUR-BO-10002916","Furniture","Bookcases","Rush Hierlooms Collection 1"" Thick Stackable Bookcases","Normal"
"FUR-BO-10002926","Furniture","Bookcases","Bush Stackable Bookrack, Mobile","Normal"
"FUR-BO-10002936","Furniture","Bookcases","Ikea Stackable Bookrack, Pine","Normal"
"FUR-BO-10002964","Furniture","Bookcases","Dania Floating Shelf Set, Pine","Normal"
